Date,Team 1,Team 2,FT,HT,iTeam 1,iTeam 2,Days from start
2013-08-17,Arsenal,Aston Villa,1-3,1-1,0,10,0
2013-08-17,Liverpool,Stoke,1-0,1-0,1,16,0
2013-08-17,Norwich,Everton,2-2,0-0,2,11,0
2013-08-17,Sunderland,Fulham,0-1,0-0,3,12,0
2013-08-17,Swansea,Man United,1-4,0-2,4,19,0
2013-08-17,West Brom,Southampton,0-1,0-0,5,15,0
2013-08-17,West Ham,Cardiff,2-0,1-0,6,17,0
2013-08-18,Chelsea,Hull,2-0,2-0,7,13,1
2013-08-18,Crystal Palace,Tottenham,0-1,0-0,8,18,1
2013-08-19,Man City,Newcastle,4-0,2-0,9,14,2
2013-08-21,Chelsea,Aston Villa,2-1,1-1,7,10,4
2013-08-24,Aston Villa,Liverpool,0-1,0-1,10,1,7
2013-08-24,Everton,West Brom,0-0,0-0,11,5,7
2013-08-24,Fulham,Arsenal,1-3,0-2,12,0,7
2013-08-24,Hull,Norwich,1-0,1-0,13,2,7
2013-08-24,Newcastle,West Ham,0-0,0-0,14,6,7
2013-08-24,Southampton,Sunderland,1-1,0-1,15,3,7
2013-08-24,Stoke,Crystal Palace,2-1,0-1,16,8,7
2013-08-25,Cardiff,Man City,3-2,0-0,17,9,8
2013-08-25,Tottenham,Swansea,1-0,0-0,18,4,8
2013-08-26,Man United,Chelsea,0-0,0-0,19,7,9
2013-08-31,Cardiff,Everton,0-0,0-0,17,11,14
2013-08-31,Crystal Palace,Sunderland,3-1,1-0,8,3,14
2013-08-31,Man City,Hull,2-0,0-0,9,13,14
2013-08-31,Newcastle,Fulham,1-0,0-0,14,12,14
2013-08-31,Norwich,Southampton,1-0,0-0,2,15,14
2013-08-31,West Ham,Stoke,0-1,0-0,6,16,14
2013-09-01,Arsenal,Tottenham,1-0,1-0,0,18,15
2013-09-01,Liverpool,Man United,1-0,1-0,1,19,15
2013-09-01,West Brom,Swansea,0-2,0-1,5,4,15
2013-09-14,Aston Villa,Newcastle,1-2,0-1,10,14,28
2013-09-14,Everton,Chelsea,1-0,1-0,11,7,28
